                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.51306,                 0.5639,                 0.3422,                0.87503,                0.99911,                      1,                  0.995,                0.91609,                0.99911,                      1,                  0.995,                0.90183,                0.41967,                0.55362,                0.28797,                0.82339,               0.003268,               0.003268,               0.003268
                     36,                0.51562,                0.56057,                0.34033,                0.85896,                0.99921,                      1,                  0.995,                0.92419,                0.99921,                      1,                  0.995,                0.90193,                0.41126,                0.55987,                0.27687,                0.82111,                0.00307,                0.00307,                0.00307
                     37,                0.53138,                0.60765,                 0.3387,                0.87429,                0.99928,                      1,                  0.995,                0.93565,                0.99928,                      1,                  0.995,                0.90619,                0.41584,                0.54167,                 0.2702,                0.82023,               0.002872,               0.002872,               0.002872
                     38,                0.51433,                 0.6191,                0.35547,                 0.8863,                0.99933,                      1,                  0.995,                0.93269,                0.99933,                      1,                  0.995,                0.91339,                0.41435,                0.54172,                0.27591,                0.82088,               0.002674,               0.002674,               0.002674
                     39,                0.49801,                0.54968,                0.35224,                0.86477,                0.99934,                      1,                  0.995,                0.92786,                0.99934,                      1,                  0.995,                0.90033,                0.39842,                0.53855,                0.27875,                0.81826,               0.002476,               0.002476,               0.002476
                     40,                0.46823,                0.57809,                 0.3351,                0.86807,                0.99935,                      1,                  0.995,                0.92714,                0.99935,                      1,                  0.995,                0.89669,                0.39512,                0.53624,                0.27263,                0.81763,               0.002278,               0.002278,               0.002278
                     41,                0.46826,                0.55619,                0.32507,                0.86086,                0.99936,                      1,                  0.995,                 0.9187,                0.99936,                      1,                  0.995,                0.88703,                 0.3988,                0.53989,                0.26821,                0.81815,                0.00208,                0.00208,                0.00208
                     42,                 0.5033,                0.70395,                0.34389,                0.87976,                0.99936,                      1,                  0.995,                0.92414,                0.99936,                      1,                  0.995,                0.88744,                0.39577,                0.53376,                0.27362,                0.81701,               0.001882,               0.001882,               0.001882
                     43,                0.44074,                0.50393,                0.30886,                0.84868,                0.99935,                      1,                  0.995,                0.92434,                0.99935,                      1,                  0.995,                0.88961,                0.39952,                0.53461,                0.27408,                0.81588,               0.001684,               0.001684,               0.001684
                     44,                 0.4833,                0.58486,                0.33091,                0.86841,                0.99932,                      1,                  0.995,                0.92562,                0.99932,                      1,                  0.995,                0.89595,                  0.387,                0.53437,                 0.2597,                 0.8162,               0.001486,               0.001486,               0.001486
                     45,                0.45576,                0.58649,                0.30676,                0.84905,                0.99931,                      1,                  0.995,                0.92882,                0.99931,                      1,                  0.995,                0.89844,                 0.3881,                0.53618,                0.25363,                0.81683,               0.001288,               0.001288,               0.001288
                     46,                0.45903,                 0.5442,                0.29928,                 0.8743,                0.99928,                      1,                  0.995,                0.92868,                0.99928,                      1,                  0.995,                0.89922,                0.38973,                0.53813,                0.24649,                0.81687,                0.00109,                0.00109,                0.00109
                     47,                 0.4278,                0.57372,                0.29786,                0.85294,                0.99929,                      1,                  0.995,                0.93262,                0.99929,                      1,                  0.995,                0.90318,                0.39066,                 0.5418,                 0.2464,                0.81642,               0.000892,               0.000892,               0.000892
                     48,                0.47697,                0.55737,                0.29631,                0.84702,                0.99918,                      1,                  0.995,                0.93308,                0.99918,                      1,                  0.995,                 0.9028,                0.38751,                0.54153,                0.24265,                0.81576,               0.000694,               0.000694,               0.000694
                     49,                0.45167,                0.57175,                0.29501,                0.84447,                0.99932,                      1,                  0.995,                0.93505,                0.99932,                      1,                  0.995,                0.90326,                0.38138,                0.53694,                  0.239,                0.81435,               0.000496,               0.000496,               0.000496
